Release Group,%...5,%...7,tconst,startYear,runtimeMinutes,g1,g2,g3,averageRating,numVotes,Total
Paddington 2,17.9%,82.1%,tt4468740,2017-01-01,103,Adventure,Comedy,Family,7.8,72361,227978523
Youth,0.8%,99.2%,tt3312830,2015-01-01,124,Comedy,Drama,Music,7.3,77202,227091290
Baby Driver,47.5%,52.5%,tt3890160,2017-01-01,113,Action,Crime,Drama,7.6,506652,226945087
Better Days,0.9%,99.1%,tt9586294,2019-01-01,135,Crime,Drama,Romance,7.5,8699,225918798
Valerian and the City of a Thousand Planets,18.2%,81.8%,tt2239822,2017-01-01,136,Action,Adventure,Fantasy,6.5,177034,225874228
Ford v Ferrari,52.2%,47.8%,tt1950186,2019-01-01,152,Action,Biography,Drama,8.1,361169,225508210
"My Country, My Parents",<0.1%,99.9%,tt15465312,2021-01-01,157,Drama,NA,NA,6,305,221715716
Geostorm,15.2%,84.8%,tt1981128,2017-01-01,109,Action,Sci-Fi,Thriller,5.3,104969,221600160
Jungle Cruise,53%,47%,tt0870154,2021-01-01,127,Action,Adventure,Comedy,6.6,173312,220889446
The Emoji Movie,39.5%,60.5%,tt4877122,2017-01-01,86,Adventure,Animation,Comedy,3.3,62448,217776646
Little Women,49.9%,50.1%,tt3281548,2019-01-01,135,Drama,Romance,NA,7.8,187921,216601214
A Little Red Flower,-,100%,tt12497408,2020-01-01,122,Drama,Family,NA,6.7,544,216000000
Creed II,54%,46%,tt6343314,2018-01-01,130,Drama,Sport,NA,7.1,119973,214215889
Smallfoot,38.9%,61.1%,tt6182908,2018-01-01,96,Adventure,Animation,Comedy,6.6,38519,214040103
Us and Them,-,100%,tt8033592,2018-01-01,120,Drama,Romance,NA,7.4,4048,209221380
Raging Fire,0.2%,99.8%,tt8165192,2021-01-01,126,Action,Adventure,Crime,6.6,3587,205846481
A Dog's Purpose,31.5%,68.5%,tt1753383,2017-01-01,100,Adventure,Comedy,Drama,7.2,70815,205035819
The Addams Family,49.3%,50.7%,tt0101272,1991-01-01,99,Comedy,Fantasy,NA,6.9,150216,203044905
The Conjuring: The Devil Made Me Do It,32.5%,67.5%,tt7069210,2021-01-01,112,Horror,Mystery,Thriller,6.3,104623,202031050
Birds of Prey,41.7%,58.3%,tt7713068,2020-01-01,109,Action,Adventure,Comedy,6,225802,201858461
Shock Wave 2,-,100%,tt9597838,2020-01-01,120,Action,Crime,Thriller,6.6,2123,198921659
The Island,0.3%,99.7%,tt0399201,2005-01-01,136,Action,Sci-Fi,Thriller,6.9,312670,198326350
Christopher Robin,50.2%,49.8%,tt4575576,2018-01-01,104,Adventure,Comedy,Drama,7.2,75651,197744377
Ghostbusters: Afterlife,65.5%,34.5%,tt4513678,2021-01-01,124,Adventure,Comedy,Fantasy,7.2,135002,197360575
Smurfs: The Lost Village,22.8%,77.2%,tt2398241,2017-01-01,90,Adventure,Animation,Comedy,6,21070,197183546
Chinese Doctors,-,100%,tt13696296,2021-01-01,129,Drama,NA,NA,4.6,423,197143218
The Shape of Water,32.7%,67.3%,tt5580390,2017-01-01,123,Drama,Fantasy,Romance,7.3,406767,195333312
Rocketman,49.3%,50.7%,tt2066051,2019-01-01,121,Biography,Drama,Musical,7.3,167731,195320400
Weathering with You,4.2%,95.8%,tt9426210,2019-01-01,112,Animation,Drama,Fantasy,7.5,35775,193932489
Downton Abbey,50%,50%,tt6398184,2019-01-01,122,Drama,Romance,NA,7.4,51435,193795226
